link,title,property_id,postcode-L1,postcode-L2,price-monthly,bed,bath,max-tenants,list-date,let-agreed,Furnishing,EPC Rating
https://www.openrent.co.uk/property-to-rent/cambridge/2-bed-flat-hills-road-cb2/1609826,"2 Bed Flat, Hills Road, CB2",1609826,CB2,208PB,"2,500.00",2,1,3,20230130,20230219,Furnished,C
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-catalina-house-e1/1609827,"1 Bed Flat, Catalina House, E1",1609827,E1,208QE,"2,700.00",1,1,2,20230126,,Furnished,B
https://www.openrent.co.uk/property-to-rent/cambridge/2-bed-flat-regent-street-cb2/1609828,"2 Bed Flat, Regent Street, CB2",1609828,CB2,201DP,"2,350.00",2,1,4,20230126,20230226,Furnished,C
https://www.openrent.co.uk/property-to-rent/cambridge/3-bed-semi-detached-house-timber-works-cb1/1609833,"3 Bed Semi-Detached House, Timber Works, CB1",1609833,CB1,203FR,"2,350.00",3,3,6,20230126,20230206,Unfurnished,B
https://www.openrent.co.uk/property-to-rent/slough/2-bed-terraced-house-dornels-sl2/1609834,"2 Bed Terraced House, Dornels, SL2",1609834,SL2,205RT,"1,600.00",2,2,2,20230207,,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/leeds/2-bed-terraced-house-firth-road-ls11/1609835,"2 Bed Terraced House, Firth Road, LS11",1609835,LS11,207HJ,650.00,2,1,4,20230126,20230127,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/london/3-bed-bungalow-perifield-se21/1609839,"3 Bed Bungalow, Perifield, SE21",1609839,SE21,208NG,"2,595.00",3,1,4,20230126,,At tenant choice,D
https://www.openrent.co.uk/property-to-rent/london/bedsit-cheniston-gardens-w8/1609841,"Bedsit, Cheniston Gardens, W8",1609841,W8,206TH,"1,196.00",1,1,1,20230126,20230202,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-orwell-court-e8/1609843,"1 Bed Flat, Orwell Court, E8",1609843,E8,204PS,"1,550.00",1,1,2,20230126,20230202,At tenant choice,C
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-shearwater-drive-nw9/1609844,"2 Bed Flat, Shearwater Drive, NW9",1609844,NW9,207FX,"2,200.00",2,2,4,20230126,20230215,Furnished,B
https://www.openrent.co.uk/property-to-rent/glasgow/2-bed-flat-auchinairn-road-g64/1609845,"2 Bed Flat, Auchinairn Road, G64",1609845,G64,201RX,765.00,2,1,3,20230126,20230131,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/london/2-bed-flat-tufnell-park-n19/1609846,"2 Bed Flat, Tufnell Park, N19",1609846,N19,205LB,"1,890.00",2,1,2,20230126,,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/barnard-castle/2-bed-flat-the-hecklingshop-dl12/1609848,"2 Bed Flat, The Hecklingshop, DL12",1609848,DL12,208AZ,695.00,2,2,3,20230126,,At tenant choice,D
https://www.openrent.co.uk/property-to-rent/kirk-ella/3-bed-semi-detached-house-wordsworth-avenue-hu10/1609849,"3 Bed Semi-Detached House, Wordsworth Avenue, HU10",1609849,HU10,207LS,995.00,3,2,2,20230126,,Unfurnished,B
https://www.openrent.co.uk/property-to-rent/watford/1-bed-flat-sapphire-court-wd17/1609850,"1 Bed Flat, Sapphire Court, WD17",1609850,WD17,202AT,"1,230.00",1,1,2,20230126,20230203,Unfurnished,B
https://www.openrent.co.uk/property-to-rent/liverpool/2-bed-flat-basement-l23/1609851,"2 Bed Flat, Basement, L23",1609851,L23,206UN,750.00,2,1,3,20230126,20230130,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/manchester/2-bed-flat-design-house-m4/1609852,"2 Bed Flat, Design House, M4",1609852,M4,201HT,"1,200.00",2,2,2,20230126,20230212,Furnished,C
https://www.openrent.co.uk/property-to-rent/london/room-in-a-shared-flat-langbourne-place-e14/1609853,"Room in a Shared Flat, Langbourne Place, E14",1609853,E14,203WW,845.00,3,2,4,20230210,20230217,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/hayton-brampton/3-bed-terraced-house-east-view-cottage-ca8/1609857,"3 Bed Terraced House, East View Cottage, CA8",1609857,CA8,209HS,750.00,3,1,6,20230126,20230215,Unfurnished,A
https://www.openrent.co.uk/property-to-rent/london/studio-flat-cheniston-gardens-w8/1609863,"Studio Flat, Cheniston Gardens, W8",1609863,W8,206TH,"1,650.00",1,1,2,20230126,20230212,Furnished,C
https://www.openrent.co.uk/property-to-rent/leicester/studio-flat-queens-road-le2/1609865,"Studio Flat, Queens Road, LE2",1609865,LE2,201WP,570.00,1,1,1,20230126,20230214,Furnished,D
https://www.openrent.co.uk/property-to-rent/bromley/2-bed-flat-eccleshill-br2/1609866,"2 Bed Flat, Eccleshill, BR2",1609866,BR2,200XT,"1,350.00",2,1,2,20230126,20230208,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-grovelands-road-n15/1609867,"1 Bed Flat, Grovelands Road, N15",1609867,N15,206BZ,"1,625.00",1,1,2,20230126,20230131,Furnished,D
https://www.openrent.co.uk/property-to-rent/acocks-green-birmingham/room-in-a-shared-house-douglas-road-b27/1609869,"Room in a Shared House, Douglas Road, B27",1609869,B27,206HJ,565.00,1,5,6,20230126,20230127,Furnished,Shared Accommodation
https://www.openrent.co.uk/property-to-rent/bromley/3-bed-semi-detached-house-marden-avenue-br2/1609871,"3 Bed Semi-Detached House, Marden Avenue, BR2",1609871,BR2,207PX,"2,200.00",3,2,4,20230126,20230214,Unfurnished,D
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-high-road-n15/1609872,"1 Bed Flat, High Road, N15",1609872,N15,204AJ,"1,749.00",1,1,2,20230126,,Furnished,D
https://www.openrent.co.uk/property-to-rent/london/3-bed-flat-crescent-road-n22/1609874,"3 Bed Flat, Crescent Road, N22",1609874,N22,207RP,"2,200.00",3,2,4,20230126,20230131,Furnished,D
https://www.openrent.co.uk/property-to-rent/london/1-bed-flat-leinster-gardens-w2/1609875,"1 Bed Flat, Leinster Gardens, W2",1609875,W2,206DP,"2,190.00",1,1,2,20230126,20230218,Furnished,C
